,단어,회귀계수,points
3454,재해,-0.17671474188300196,-0.02720999533604862
3284,인지,-0.17669993066605458,-0.02720771166234781
3279,인재,-0.176615105343967,-0.027194632834463106
3390,잡담,-0.176615105343967,-0.027194632834463106
1810,부천,-0.1758835552101117,-0.027081838470064512
4493,폐아,-0.1749406369558422,-0.02693645422331503
3447,재조사,-0.1749406369558422,-0.02693645422331503
4088,카드,-0.1743899237462379,-0.026851542275974194
4647,학과,-0.17404145911677116,-0.02679781411083948
2491,시가총액,-0.1739156090781657,-0.026778409869821496
287,고가,-0.17298931254040661,-0.02663558844940772
2308,소각,-0.1729458160912304,-0.026628881931137327
659,김상민,-0.1725897707753338,-0.026573984934684103
4528,포항시,-0.1725897707753338,-0.026573984934684103
2693,양만,-0.1725897707753338,-0.026573984934684103
103,강훈,-0.1725897707753338,-0.026573984934684103
3120,유명,-0.17207497990187387,-0.026494611687817082
1931,빗물,-0.171838059682674,-0.026458082044391373
4696,항산,-0.17179994726809777,-0.026452205665755235
2190,석유난로,-0.17179994726809777,-0.026452205665755235
4218,킴,-0.17177738196521614,-0.026448726425060576
3554,점수,-0.17154143702039606,-0.02641234715472429
755,낳,-0.17125196877415483,-0.026367715371696243
4936,회장,-0.1712091631143028,-0.026361115363067733
3173,의견,-0.17066555389917598,-0.02627729874809659
2568,실수,-0.17055411524456077,-0.02626011653236726
4294,테트라클로로에틸렌,-0.1703838137528431,-0.02623385852539628
1496,반출,-0.17037553666959074,-0.02623258231984127
1517,발언,-0.1703378790944516,-0.026226776070814695
3736,죽음,-0.16951068650697784,-0.026099235034566792
1371,문화재,-0.16930853269263693,-0.026068065863864565
3808,지주,-0.16919182316982523,-0.026050070957110316
4467,편서풍,-0.1689759373476449,-0.026016784511016522
985,데이터,-0.16869307663543684,-0.025973171513396398
124,개연,-0.168472903995495,-0.02593922410250704
3608,정체불명,-0.1683549456353618,-0.025921036643246298
472,괴수,-0.1683549456353618,-0.025921036643246298
4386,파견,-0.1682724008993745,-0.025908309448486433
1419,미키,-0.1682724008993745,-0.025908309448486433
744,남쪽,-0.1682724008993745,-0.025908309448486433
2674,야생,-0.16766373165289072,-0.025814461525276777
214,결정,-0.16757711608583842,-0.02580110666772084
881,단기,-0.16724813145022882,-0.02575038203361435
2075,상부,-0.16724813145022882,-0.02575038203361435
3176,의대,-0.16724813145022882,-0.02575038203361435
1567,방향,-0.16715745428447895,-0.025736400936758552
1111,라다,-0.16708918977584608,-0.02572587554484651
363,공감대,-0.1662556468083685,-0.025597355372592445
2471,스틱,-0.166054219272559,-0.025566298183450464
1449,바냐,-0.1660268809544161,-0.025562083013394465
2273,세라믹,-0.1660268809544161,-0.025562083013394465
4197,크롬,-0.1660268809544161,-0.025562083013394465
1470,박,-0.16576374634188304,-0.025521511492731186
1595,배치,-0.1657098850987723,-0.02551320687435832
2029,산재,-0.16537387532866532,-0.025461399066940893
4972,휴양소,-0.16537387532866532,-0.025461399066940893
388,공병단,-0.16537387532866532,-0.025461399066940893
237,경악,-0.16537387532866532,-0.025461399066940893
4650,학부,-0.16532635007406193,-0.02545407136561495
1459,바바라,-0.16532635007406193,-0.02545407136561495
4604,플로스,-0.16532635007406193,-0.02545407136561495
1534,발행,-0.16532635007406193,-0.02545407136561495
1061,둔갑,-0.16524038375253586,-0.025440816612252948
4205,클로로,-0.1650692589250986,-0.025414431658918546
1960,사망률,-0.165017689039591,-0.02540648033447923
2815,역설,-0.16491999250048556,-0.025391416952596835
739,남소,-0.16491887450019763,-0.025391244573253258
4387,파견대,-0.16485646737076168,-0.02538162230381069
4706,해군,-0.16485646737076168,-0.02538162230381069
1955,사령부,-0.16485646737076168,-0.02538162230381069
3811,지진,-0.16462711772091634,-0.025346259931797954
1625,벌,-0.16393369982283998,-0.02523934500217606
1863,불감증,-0.16389040051233514,-0.025232668879814346
1249,머스크,-0.16268368024677865,-0.02504661020924459
3718,주부,-0.16251230128403593,-0.025020186071951445
934,대마초,-0.16184063137147262,-0.024916624364602735
2647,알코올,-0.16184063137147262,-0.024916624364602735
3724,주의력,-0.16184063137147262,-0.024916624364602735
216,결핍,-0.16184063137147262,-0.024916624364602735
2592,쌍둥이,-0.16184063137147262,-0.024916624364602735
194,겉면,-0.1611993704234022,-0.024817751276206224
1876,불허,-0.1611993704234022,-0.024817751276206224
3016,용허,-0.1611993704234022,-0.024817751276206224
957,대책위,-0.1611993704234022,-0.024817751276206224
2162,서남,-0.1611260151431332,-0.02480644096153295
4323,톨루엔,-0.1610730856776832,-0.024798280009689644
3438,재무,-0.16105250071693844,-0.024795106108878362
1025,동두천,-0.16050893530708424,-0.02471129624804158
1506,발령,-0.1601480943626131,-0.024655659835583932
263,경험,-0.1598879594102804,-0.024615550818787524
3132,유입,-0.15969208495462814,-0.024585349833640024
2423,수천,-0.1594044934900423,-0.024541007422979266
2883,염소,-0.1594044934900423,-0.024541007422979266
2014,삭제,-0.15939925042743283,-0.024540199019170483
53,갈등,-0.15921317518834158,-0.02451150893034082
2617,아연,-0.15907362119027052,-0.024489991738581574
4174,콜로,-0.1588384046648754,-0.024453724779900043
2127,생리학,-0.1588384046648754,-0.024453724779900043
1903,비만,-0.1588384046648754,-0.024453724779900043
4716,해수,-0.15876392713432824,-0.02444224143059659
2171,서빙고,-0.15774413697516357,-0.024285004656930065
2034,산타,-0.1576988043598576,-0.024278015028614264
3839,진출,-0.15758969742598947,-0.024261192330226833
1764,봉투,-0.15748070056601185,-0.024244386603628487
125,개인,-0.1573596880174347,-0.0242257282330407
3856,징벌,-0.15734276107603168,-0.024223118345476635
3261,인과,-0.15731012820039797,-0.024218086831852004
4511,포식자,-0.15657809497241554,-0.024105217981382765
775,냉난,-0.15653418640065841,-0.0240984479198193
1542,방기,-0.15653418640065841,-0.0240984479198193
2743,언론,-0.15601117487794938,-0.024017807168697947
498,구민,-0.1556355908833695,-0.02395989759287198
2646,알미늄,-0.1556338746521419,-0.02395963297504
916,당황,-0.1556338746521419,-0.02395963297504
104,강흥순,-0.1552953839982607,-0.023907442651516786
734,남부,-0.15524205614557599,-0.023899220274170463
197,게재,-0.15515430380428472,-0.023885690142601335
3459,저거,-0.1543058958161341,-0.023754878000896595
1631,범벅,-0.15403039634428342,-0.023712399999210265
1653,베이비붐,-0.15373364600589842,-0.023666645423749078
2126,생리대,-0.15356851241418246,-0.023641184231608547
3821,지형지물,-0.153377552726425,-0.02361174103201158
2796,여의,-0.153377552726425,-0.02361174103201158
4530,포획,-0.1533629074228038,-0.023609482939726534
4515,포장,-0.15308219130575473,-0.023566200607410992
346,곡물,-0.15149460498134115,-0.023321417943718115
4913,활동가,-0.15149037220354553,-0.02332076531109728
4482,폐,-0.15082205761509043,-0.023217720945804432
338,고충,-0.15029290808214363,-0.023136133802998726
4758,행주대교,-0.1484179222278017,-0.02284703832217061
255,경찰,-0.14823741547089905,-0.022819206812104254
3235,이산화질소,-0.1477970145688636,-0.022751303414200508
3629,제보,-0.1470532742667179,-0.022636629503588468
2889,엿,-0.1470532742667179,-0.022636629503588468
3320,임명,-0.14689926070696993,-0.0226128828582437
3679,조합,-0.14682302735325134,-0.022601128786607694
4504,포럼,-0.1463107367820005,-0.022522141049886146
4708,해류,-0.1462873106609646,-0.022518529083582983
1796,부위,-0.1452932282366539,-0.022365256067803596
3567,정광,-0.1452932282366539,-0.022365256067803596
517,국가,-0.14510913701031944,-0.02233687188481348
3980,초반,-0.14458698184065497,-0.022256363170845672
1203,마이크로그램,-0.14431221494276403,-0.022213998121382805
4424,팔목,-0.14380450175859996,-0.022135716151010176
4421,팔꿈치,-0.14380450175859996,-0.022135716151010176
2606,아두,-0.14361356733642783,-0.022106276846998063
4721,해안가,-0.14348094760497485,-0.022085828818047437
3738,준비,-0.14322994882989779,-0.022047128466575305
1356,무허가,-0.1431866052471275,-0.022040445518075824
4914,활동비,-0.14302198072605204,-0.022015062817205777
4752,행정,-0.14262242412873094,-0.021953457015565614
3840,진폐증,-0.1425227784885567,-0.02193809311071704
1219,만성,-0.1425227784885567,-0.02193809311071704
3640,제자,-0.14225113043936355,-0.02189620894224953
1416,미작,-0.14225113043936355,-0.02189620894224953
1758,봄,-0.1419524095857362,-0.021850150542068625
3308,일원,-0.14177967629021324,-0.021823517586407326
1145,레전드,-0.14162423331316384,-0.02179955054575622
3572,정량,-0.14126709486538996,-0.021744485004305814
973,대행,-0.14121980952758248,-0.021737194294651596
