Unnamed: 0,단어,회귀계수,points
3864,쩍,-0.2067644785643037,-0.038192541274868
1573,미심,-0.2067644785643037,-0.038192541274868
3,가공,-0.2064043495545205,-0.0381254817260019
1161,동연,-0.2063478097525592,-0.0381149534611038
4314,태스크포스,-0.2063478097525592,-0.0381149534611038
4873,화력발전소,-0.2062341339567006,-0.0380937859145297
195,결실,-0.2061048825782583,-0.038069718041925
399,공중,-0.2058120587684202,-0.0380151913805021
4295,탈북자,-0.2058120587684202,-0.0380151913805021
4323,태운,-0.2058120587684202,-0.0380151913805021
892,님비,-0.2053621093162362,-0.0379314063855243
4817,혐오시설,-0.2053621093162362,-0.0379314063855243
4341,테러,-0.2051257983375268,-0.0378874029667664
193,결사,-0.2050633003476104,-0.0378757652289142
353,공공재,-0.2050633003476104,-0.0378757652289142
3697,주부,-0.2049723762444094,-0.0378588342703519
1629,반출,-0.2049157461096081,-0.0378482891845942
2393,수온,-0.2044359499930094,-0.0377589464483725
699,나머지,-0.2042691431982629,-0.0377278853894196
1399,맞이,-0.2038907171872786,-0.0376574187597218
4409,투철,-0.203731285954911,-0.0376277311027229
1421,맹독,-0.203604591099894,-0.0376041392798197
927,단속,-0.2029851911084648,-0.0374888009347696
3670,종합병원,-0.2025298070516465,-0.0374040039631802
1759,벤치,-0.2025298070516465,-0.0374040039631802
1687,방패,-0.2023697727282973,-0.0373742040047339
237,경주로,-0.2023697727282973,-0.0373742040047339
3426,재무,-0.2020591276495878,-0.0373163588484986
3477,전남,-0.2018014931127703,-0.0372683847743697
2859,연안,-0.2008596007397649,-0.0370929951892533
2586,십년,-0.2004920762746578,-0.0370245585341719
1310,로스,-0.2004328187298532,-0.0370135241989375
2341,소형,-0.2001593733040815,-0.0369626059824272
678,꼽는,-0.2000212142027397,-0.0369368794045731
426,과학기술,-0.1998504500844755,-0.0369050814532216
3496,전북도,-0.1998087074847455,-0.0368973085723086
1511,무려,-0.1994237110792927,-0.0368256184708077
743,낮,-0.1993223788238165,-0.0368067494123502
454,광양,-0.1987273075796846,-0.036695941318332
4658,한숨,-0.1984618407219802,-0.0366465087893412
1776,별거,-0.1984351357507033,-0.0366415360621305
3675,좌석,-0.1984351357507033,-0.0366415360621305
2660,안남,-0.1984351357507033,-0.0366415360621305
4762,향수,-0.1984351357507033,-0.0366415360621305
1014,대장,-0.1983853069702397,-0.0366322574551656
2744,어머니,-0.198101759705409,-0.0365794581772812
4833,형식,-0.1972190292099439,-0.0364150851132175
1419,맨,-0.1971679238808904,-0.0364055688004021
3522,전화,-0.1969333471876253,-0.0363618883225802
3808,지진,-0.1968276857601738,-0.0363422131298993
1069,데이터,-0.196779213364496,-0.0363331870950665
3762,증언,-0.196316652342963,-0.0362470537023532
3456,저지,-0.1959456519470976,-0.0361779697949199
587,금연,-0.1955794889971177,-0.0361097866672904
4531,포스,-0.1951553115150051,-0.0360308006655607
1893,부패,-0.1947830397440095,-0.0359614800156259
2240,선포,-0.1947746881416691,-0.035959924865471
1853,봉화,-0.1945990556032673,-0.0359272203666068
884,능력,-0.1938801020887629,-0.0357933441804939
1246,똥,-0.1931569848006569,-0.0356586926589547
304,고용노동부,-0.1927306524636267,-0.0355793054021337
